date,avg_temperature,humidity,avg_wind_speed,rain_or_not,cloud_cover,pressure
1/1/2023,0.43727006,0.269015077,0.137475231,1,0.206297073,992.9656813
1/2/2023,0.751525132,0.497943122,0.09392434,1,0.931916083,1037.273025
1/3/2023,0.668261203,0.357743641,0.231382774,1,0.113701948,1034.193357
1/4/2023,0.627546475,0.385063324,0.102838076,1,0.818216776,968.6101418
1/5/2023,0.431965166,0.463769765,0.215312917,1,0.379252274,1030.264331
1/6/2023,0.457406783,0.32839058,0.115219012,1,0.879037631,995.8186887
1/7/2023,0.433550304,0.566623638,0.098727694,1,0.869071458,998.2968872
1/8/2023,0.862272048,0.618051213,0.12146251,1,0.806636061,963.3479972
1/9/2023,0.753925828,0.56814301,0.078689383,1,0.790663298,958.0601514
1/10/2023,0.831031539,0.697941165,0.197018524,1,0.302936404,1022.793931
1/11/2023,0.510292247,0.47276402,0.4018988,1,0.078081334,999.6461152
1/12/2023,1,0.759295834,0.060348553,1,0.401718587,993.6850703
1/13/2023,0.548082,0.417356413,0.132360103,0,0.497553469,1022.950823
1/14/2023,0.670829751,0.541333551,0.100569805,1,0.695118576,1026.55129
1/15/2023,0.675477787,0.648115973,0.142907973,1,0.344559728,965.8908168
1/16/2023,0.548082,0.417356413,0.132360103,1,0.497553469,1011.022515
1/17/2023,0.548082,0.417356413,0.132360103,0,0.497553469,963.5354082
1/18/2023,0.900951197,0.644190343,0.029770066,1,0.823272255,1025.137509
1/19/2023,0.870481007,0.629929958,0.247991062,1,0.129939311,1015.695516
1/20/2023,0.814949854,0.743908742,0.16522377,1,0.862999676,1045.661462
1/21/2023,0.98893915,0.600099238,0.087580079,1,0.924039695,956.8958016
1/22/2023,0.765250192,0.670487192,0.035703085,1,0.486211873,955.7054721
1/23/2023,0.852845053,0.918695033,0.209326806,1,0.605986283,978.2187075
1/24/2023,0.899971135,0.910395531,0.163199085,1,0.765319218,976.1705684
1/25/2023,0.953563251,0.798160579,0.140231895,1,0.172460375,974.6978799
1/26/2023,1,0.777490849,0.235809075,1,0.501791917,1040.625458
1/27/2023,0.838910692,0.827282875,0.207887445,0,0.397380305,974.95462
1/28/2023,1,1,0.038991991,1,0.143856418,977.1949726
1/29/2023,1,0.86434224,0.081432398,1,0.366099338,1025.939826
1/30/2023,0.772539974,0.908459615,0.064664648,1,0.065271969,994.9739842
1/31/2023,1,0.816461873,0.196047168,1,0.02270423,1027.671056
2/1/2023,0.834576829,0.837722818,0.007663647,1,0.132593857,956.5366158
2/2/2023,0.779786744,0.884524506,0.149891823,0,0.964595152,998.7571194
2/3/2023,1,0.837685406,0.200956179,1,0.548985243,953.36136
2/4/2023,1,0.664292385,0.231267449,1,0.967315451,956.2653203
2/5/2023,1,0.923007977,0.089483006,1,0.431380764,1040.643745
2/6/2023,0.877835143,0.757600452,0.216548064,1,0.31010833,963.9245371
2/7/2023,0.765626271,0.976066683,0.028108403,0,0.505385205,1003.242068
2/8/2023,1,0.847343438,0.223229128,1,0.438428904,991.1095603
2/9/2023,0.915579509,0.784750963,0.032578427,1,0.102947854,984.7343326
2/10/2023,0.74403182,0.80295663,0.104122098,1,0.640728883,1039.983335
2/11/2023,0.916923739,0.743627127,0.210193973,1,0.213861586,952.1823397
2/12/2023,0.671702758,0.697305767,0.03852596,1,0.61938657,1016.378969
2/13/2023,1,0.739206169,0.059563292,1,0.650149546,1046.339443
2/14/2023,0.549152214,0.417356413,0.132360103,1,0.497553469,1006.016818
2/15/2023,0.934814533,0.648175912,0.189706914,1,0.058415893,1043.682246
2/16/2023,0.740420841,0.61604554,0.168787602,1,0.78134908,955.2257879
2/17/2023,0.549152214,0.417356413,0.132360103,1,0.497553469,991.8793319
2/18/2023,0.817247766,0.706560217,0.142688298,1,0.055214468,976.0157791
2/19/2023,0.614746746,0.726698705,0.065542354,1,0.996501767,1023.082096
2/20/2023,0.984792314,0.613501159,0.090441411,1,0.054829358,1048.129709
2/21/2023,0.864561662,0.608771428,0.04692676,1,0.695203127,975.6530062
2/22/2023,0.549152214,0.417356413,0.132360103,0,0.497553469,1015.41746
2/23/2023,0.87659765,0.585580196,0.153472236,1,0.237116778,969.8097633
2/24/2023,0.703458487,0.533819915,0.105067213,1,0.139711606,1006.533025
2/25/2023,0.84034664,0.403565526,0.121283787,1,0.118745054,996.3932487
2/26/2023,0.398202097,0.288316544,0.249966933,0,0.30152554,1047.200533
2/27/2023,0.549152214,0.417356413,0.132360103,1,0.497553469,1010.852727
2/28/2023,0.324877876,0.329830671,0.154224811,0,0.692315174,984.9506372
3/1/2023,0.438833143,0.456329421,0.132920399,1,0.059362675,961.4095785
3/2/2023,0.444338645,0.462738315,1,1,0.508681526,965.1246829
3/3/2023,0.359506538,0.270538866,0.003574062,0,0.998341263,972.531693
3/4/2023,0.612104523,0.247076156,0.230036581,0,0.814720307,975.0966661
